hour_bin,transactions,average_risk,observed_fraud,risk_baseline,risk_std,risk_lift,z_score,spike_score,transaction_risk_score,final_risk_score,severity,explanation,alert
3855,156,0.038514527247100167,3,0.03524617640723918,0.008424296790214331,1.0927292311681702,0.3879672002602648,15.3326823549642,3.8514527247100165,8.44394457681169,LOW,156 transactions in window,False
3856,175,0.039697348115842225,2,0.03534045551205046,0.008448666766047682,1.1232834308631405,0.5156899572960596,15.892544438093617,3.9697348115842224,8.738858662187981,LOW,175 transactions in window,False
3857,191,0.04545411592557373,2,0.03531104438980681,0.008431487391428651,1.287249264671846,1.2029990753562942,19.911663926674837,4.5454115925573735,10.691912526204359,LOW,191 transactions in window,False
3858,176,0.0437251310060123,10,0.03584854456126832,0.008656279449903725,1.2197184443926923,0.9099274682995113,16.63220865669209,4.37251310060123,9.276391323037574,LOW,176 transactions in window,False
3859,196,0.05043100948485677,1,0.03624848902370006,0.008793903813666038,1.3912582522235306,1.6127672944428362,25.88825661989718,5.0431009484856775,13.381163217050279,LOW,196 transactions in window,False
3860,183,0.04298324165176857,10,0.036894790406786164,0.009250162386753392,1.1650219767575245,0.6581993904994915,16.334265947557924,4.298324165176857,9.112700878129283,LOW,183 transactions in window,False
3861,185,0.03917890818323645,14,0.03697091064798737,0.009294167950711184,1.0597225628622509,0.23756806924068224,15.575816623062499,3.917890818323645,8.581061140219187,LOW,185 transactions in window,False
3862,184,0.034458236736535496,2,0.03698787850896963,0.009297969405234908,0.931608897984763,-0.27206389504894557,15.112291554211899,3.4458236736535497,8.11241082587689,LOW,184 transactions in window,False
3863,196,0.04339203643665628,5,0.037080509224035586,0.009259555946513199,1.1702114492141216,0.6816230982434294,16.570814416791162,4.339203643665628,9.231847952915842,LOW,196 transactions in window,False
3864,163,0.04412486394049866,1,0.03723156191285704,0.009334548772591838,1.1851467323282285,0.7384719064173485,16.152089980012132,4.412486394049866,9.108327828434772,LOW,163 transactions in window,False
3865,155,0.03740014595844815,2,0.03799250914691898,0.009109083091491686,0.9844084215080365,-0.06502994675985807,14.618715437313776,3.7400145958448148,8.091494932432399,LOW,155 transactions in window,False
3866,95,0.04640191574297584,2,0.03844526969819282,0.008778841343679535,1.2069603388725099,0.9063435290935671,14.765432239993892,4.640191574297584,8.690287840576108,LOW,no major anomaly detected,False
3867,87,0.05204831227413659,2,0.039360073100532494,0.008392094944198389,1.3223632014401019,1.511927505345457,21.778160233006798,5.204831227413659,11.834162829650916,LOW,no major anomaly detected,False
3868,56,0.07777980286332163,0,0.04020866164649082,0.008608857784661023,1.9344041725922456,4.36424229051313,60.76519879597313,7.777980286332163,28.97286769018855,LOW,risk 1.9x above recent baseline; 4.4σ statistical deviation,False
3869,37,0.09107461931032317,0,0.04122925814121927,0.01126783498851505,2.2089803071006657,4.423685758613763,62.39379126498758,9.107461931032317,30.42199366461442,MEDIUM,risk 2.2x above recent baseline; 4.4σ statistical deviation,False
3870,21,0.1344537945189542,4,0.04266140289438349,0.014914347257362294,3.1516496269900083,6.154636876867571,75.0855620053484,13.44537945189542,38.10145247327661,MEDIUM,elevated predicted fraud probability; risk 3.2x above recent baseline; 6.2σ statistical deviation,False
3871,18,0.028318661977437973,1,0.04667440387780087,0.023897411344364544,0.6067278770518332,-0.7681058687007756,8.523790677828302,2.831866197743797,5.108635989777599,LOW,no major anomaly detected,False
3872,9,0.05180499673843733,0,0.045975533850120605,0.02418919084288125,1.1267948928515037,0.2409945386838893,7.6166638859848295,5.180499673843733,6.154965358700172,LOW,no major anomaly detected,False
3873,8,0.025331488999251268,1,0.04644509608011201,0.024188379270034158,0.5454071826131569,-0.8728822566056502,6.3606963845777225,2.5331488999251266,4.064167893786165,LOW,no major anomaly detected,False
3874,59,0.05356570954721932,0,0.04627230376296234,0.024329253741120993,1.157619249337977,0.29977926416747264,13.034771053154484,5.356570954721932,8.427850994094953,LOW,no major anomaly detected,False
3875,42,0.02863316705121875,0,0.04739918363749466,0.023998710643975133,0.6040856583143505,-0.7819593670957115,10.888214260997012,2.863316705121875,6.0732757274719305,LOW,no major anomaly detected,False
3876,97,0.038087934947093435,5,0.047598611071521475,0.023813656840463604,0.8001900494504485,-0.39937907009173507,13.272920012729191,3.8087934947093434,7.594444101917283,LOW,no major anomaly detected,False
3877,157,0.03214043507217984,0,0.0480041760723088,0.02355312269796151,0.6695341468576949,-0.6735302661800315,14.655593358688465,3.2140435072179843,7.7906634478061765,LOW,157 transactions in window,False
3878,179,0.040378918110731375,3,0.04805734088739757,0.023514160199401408,0.8402237278450885,-0.3265446314711108,15.032974875408517,4.037891811073138,8.43592503680729,LOW,179 transactions in window,False
3879,189,0.04179287054330817,2,0.0483074717433254,0.023393917100593124,0.8651429899989054,-0.2784741508659983,15.189492867426853,4.179287054330818,8.583369379569232,LOW,189 transactions in window,False
3880,165,0.04390777733931139,2,0.0484440693806674,0.023343767132984528,0.9063602191279514,-0.19432562086117944,14.798579343594048,4.390777733931139,8.553898377796303,LOW,165 transactions in window,False
3881,166,0.0425978508216677,2,0.048619503931645276,0.023290936685568673,0.8761473766074724,-0.2585406156596811,14.81596604858521,4.25978508216677,8.482257468734147,LOW,166 transactions in window,False
3882,195,0.04303359802726986,9,0.0485004928856492,0.023315099163181918,0.8872816638942459,-0.2344787307193785,15.279496313961433,4.303359802726986,8.693814407220765,LOW,195 transactions in window,False
3883,195,0.04334283156813151,4,0.04847167901153493,0.023321683751685973,0.8941887809955399,-0.2199175453201419,15.279496313961433,4.334283156813151,8.712368419672464,LOW,195 transactions in window,False
3884,191,0.04188717605946665,11,0.048176338265004705,0.023340666258281066,0.8694553709967928,-0.26945084325974256,15.219805999682311,4.188717605946665,8.601152963440924,LOW,191 transactions in window,False
3885,170,0.0357897322938126,9,0.048130668865325466,0.023352338476986523,0.7435951574651066,-0.5284668421398023,14.884487062406027,3.5789732293812597,8.101178762591168,LOW,170 transactions in window,False
3886,191,0.03773248226601473,6,0.047989453203266134,0.023418977324552493,0.7862661428167028,-0.4379768934870602,15.219805999682311,3.773248226601473,8.351871335833808,LOW,191 transactions in window,False
3887,209,0.041908733828009845,2,0.04812588010032778,0.023346148005447587,0.870814907501804,-0.2663028723568112,15.479222237635886,4.1908733828009845,8.706212924734945,LOW,209 transactions in window,False
3888,142,0.04088075448900327,5,0.0480640758249675,0.02336118331150734,0.8505469789511116,-0.3074896181490022,14.366828144251526,4.088075448900327,8.199576527040806,LOW,142 transactions in window,False
3889,147,0.045608664088113746,2,0.04792890459782186,0.023394329093874858,0.9515899533031773,-0.0991796131617045,14.466318268310072,4.560866408811375,8.523047152610854,LOW,147 transactions in window,False
3890,103,0.048452620831749824,2,0.04827092618655793,0.023293494000642047,1.0037640596430588,0.007800231480381944,13.473173993580097,4.845262083174982,8.29642684733703,LOW,103 transactions in window,False
3891,92,0.06393970981760347,2,0.04835637223192351,0.02329010093104365,1.3222602702895128,0.6690970396314919,15.538273127534724,6.393970981760347,10.051691840070099,LOW,no major anomaly detected,False
